SAUID,system,dia_mm,road_up,road_dn,length_m
6371,汚水,150.0,建設省,建設省,90.04311041805148
17729,汚水,250.0,愛知県,愛知県,89.09459835464354
20021,雨水,800.0,愛知県,愛知県,86.9222880267086
11732,雨水,2000.0,建設省,建設省,86.0611496772792
20560,雨水,800.0,建設省,建設省,84.60943044245776
168,汚水,350.0,愛知県,愛知県,84.24626628078921
6404,汚水,150.0,建設省,建設省,83.97474883821884
14767,汚水,150.0,建設省,建設省,83.75255243450904
6485,汚水,150.0,建設省,建設省,83.74198459485007
6403,汚水,150.0,建設省,建設省,82.68998911095993
20604,汚水,150.0,愛知県,愛知県,82.62526957854205
6486,汚水,150.0,建設省,建設省,81.52088948479744
8293,汚水,150.0,建設省,建設省,81.41481930598695
7624,汚水,300.0,愛知県,愛知県,81.18718733271822
6402,汚水,150.0,建設省,建設省,80.96114926177573
8961,汚水,500.0,愛知県,愛知県,80.96017585902489
8295,汚水,150.0,建設省,建設省,78.97645696964332
2194,汚水,500.0,愛知県,愛知県,78.39290420287156
19953,雨水,900.0,愛知県,愛知県,77.53131628876338
2826,汚水,200.0,愛知県,愛知県,75.58150732750457
2693,汚水,200.0,愛知県,愛知県,74.84794809487056
20552,雨水,800.0,建設省,建設省,74.77290377742418
17277,汚水,200.0,愛知県,愛知県,74.09463488262035
14690,汚水,150.0,建設省,建設省,73.26412623926805
8347,汚水,150.0,建設省,建設省,72.99187892680072
10333,汚水,300.0,愛知県,愛知県,72.64236865090689
6396,汚水,150.0,建設省,建設省,72.37147592032596
17404,汚水,200.0,愛知県,愛知県,72.0636457575741
14755,汚水,150.0,建設省,建設省,71.70943872321297
9292,汚水,250.0,愛知県,愛知県,71.57287652871781
17725,汚水,200.0,愛知県,愛知県,71.38787269998662
9213,汚水,200.0,愛知県,愛知県,70.77445388745569
14751,汚水,150.0,建設省,建設省,70.6490964490496
17715,汚水,200.0,愛知県,愛知県,70.5569211267041
7366,汚水,200.0,愛知県,愛知県,68.4807317519864
6373,汚水,150.0,建設省,建設省,67.77799398191641
16115,汚水,200.0,愛知県,愛知県,65.63235922832918
1164,汚水,200.0,愛知県,愛知県,65.62669949046087
2825,汚水,150.0,愛知県,愛知県,65.55065105252723
20101,雨水,1500.0,建設省,建設省,64.60423999696933
6374,汚水,150.0,建設省,建設省,64.51676005303446
